,ts_code,trade_date,avg_price
0,600161.SH,20201231,41.84
1,600161.SH,20201230,42.07
2,600161.SH,20201229,42.75
3,600161.SH,20201228,42.72
4,600161.SH,20201225,42.14
5,600161.SH,20201224,41.92
6,600161.SH,20201223,40.73
7,600161.SH,20201222,41.59
8,600161.SH,20201221,41.73
9,600161.SH,20201218,41.62
10,600161.SH,20201217,41.22
11,600161.SH,20201216,41.17
12,600161.SH,20201215,41.38
13,600161.SH,20201214,40.09
14,600161.SH,20201211,39.46
15,600161.SH,20201210,40.15
16,600161.SH,20201209,40.62
17,600161.SH,20201208,41.21
18,600161.SH,20201207,42.34
19,600161.SH,20201204,42.34
20,600161.SH,20201203,41.36
21,600161.SH,20201202,39.27
22,600161.SH,20201201,39.44
23,600161.SH,20201130,39.95
24,600161.SH,20201127,39.01
25,600161.SH,20201126,38.47
26,600161.SH,20201125,38.76
27,600161.SH,20201124,37.65
28,600161.SH,20201123,37.74
29,600161.SH,20201119,36.53
30,600161.SH,20201118,36.0
31,600161.SH,20201117,35.2
32,600161.SH,20201116,35.27
33,600161.SH,20201113,33.97
34,600161.SH,20201112,34.06
35,600161.SH,20201111,34.27
36,600161.SH,20201110,35.7
37,600161.SH,20201109,35.6
38,600161.SH,20201106,34.51
39,600161.SH,20201105,35.28
40,600161.SH,20201104,34.74
41,600161.SH,20201103,34.7
42,600161.SH,20201102,33.77
43,600161.SH,20201030,34.92
44,600161.SH,20201029,35.55
45,600161.SH,20201028,34.6
46,600161.SH,20201027,37.78
47,600161.SH,20201026,40.17
48,600161.SH,20201023,37.75
49,600161.SH,20201022,38.29
50,600161.SH,20201021,39.39
51,600161.SH,20201020,38.3
52,600161.SH,20201019,38.45
53,600161.SH,20201016,38.94
54,600161.SH,20201015,39.29
55,600161.SH,20201014,40.17
56,600161.SH,20201013,41.19
57,600161.SH,20201012,41.03
58,600161.SH,20201009,40.9
59,600161.SH,20200930,39.64
60,600161.SH,20200929,38.13
61,600161.SH,20200928,41.03
62,600161.SH,20200925,42.03
63,600161.SH,20200924,41.75
64,600161.SH,20200923,41.51
65,600161.SH,20200922,41.2
66,600161.SH,20200921,40.87
67,600161.SH,20200918,40.23
68,600161.SH,20200917,39.77
69,600161.SH,20200916,40.09
70,600161.SH,20200915,40.23
71,600161.SH,20200914,40.54
72,600161.SH,20200911,40.23
73,600161.SH,20200910,40.04
74,600161.SH,20200909,38.97
75,600161.SH,20200908,40.7
76,600161.SH,20200907,41.77
77,600161.SH,20200904,41.19
78,600161.SH,20200903,42.25
79,600161.SH,20200902,42.38
80,600161.SH,20200901,42.69
81,600161.SH,20200831,43.15
82,600161.SH,20200828,43.04
83,600161.SH,20200827,42.75
84,600161.SH,20200826,43.25
85,600161.SH,20200825,43.98
86,600161.SH,20200821,44.3
87,600161.SH,20200820,44.27
88,600161.SH,20200819,45.3
89,600161.SH,20200818,46.93
90,600161.SH,20200817,46.35
91,600161.SH,20200814,45.94
92,600161.SH,20200813,46.6
93,600161.SH,20200812,47.95
94,600161.SH,20200811,51.7
