,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,600111.SH,20201027,20201027,20200930,1,1,0.1405,0.1405,15528960902.13,537551270.84
1,600111.SH,20201027,20201027,20200930,1,1,0.1405,0.1405,15528960902.13,537551270.84
2,600111.SH,20200825,20200825,20200630,1,1,0.0908,0.0908,9610566418.89,317711663.49
3,600111.SH,20200825,20200825,20200630,1,1,0.0908,0.0908,9610566418.89,317711663.49
4,600111.SH,20200430,20200430,20200331,1,1,0.0401,0.0401,4559400635.14,164121069.33
5,600111.SH,20200430,20200430,20200331,1,1,0.0401,0.0401,4559400635.14,164121069.33
6,600111.SH,20200428,20200428,20191231,1,1,0.1697,0.1697,18091799253.61,640323241.95
7,600111.SH,20200428,20200428,20191231,1,1,0.1697,0.1697,18091799253.61,640323241.95
8,600111.SH,20191026,20191026,20190930,1,1,0.1269,0.1269,14084534616.96,471200759.53
9,600111.SH,20191026,20191026,20190930,1,1,0.1269,0.1269,14084534616.96,471200759.53
10,600111.SH,20190824,20190824,20190630,1,1,0.0732,0.0732,8519220200.46,245378262.44
11,600111.SH,20190824,20190824,20190630,1,1,0.0732,0.0732,8519220200.46,245378262.44
12,600111.SH,20190430,20190430,20190331,1,1,0.0329,0.0329,3954941840.38,115044191.61
13,600111.SH,20190420,20190420,20181231,1,1,0.1607,0.1607,13954719015.31,578991426.79
14,600111.SH,20190420,20190420,20181231,1,1,0.1607,0.1607,13954719015.31,578991426.79
15,600111.SH,20181020,20181020,20180930,1,1,0.104,0.104,9316525821.0,446988371.79
16,600111.SH,20180824,20180824,20180630,1,1,0.0599,0.0599,5693751984.07,293421518.66
17,600111.SH,20180428,20180428,20180331,1,1,0.03,0.03,3019591141.1,155911027.83
18,600111.SH,20180420,20180420,20171231,1,1,0.1105,0.11,10203975366.68,696712840.58
19,600111.SH,20171028,20171028,20170930,1,1,0.096,0.096,7093409419.03,650017349.41
20,600111.SH,20170818,20170818,20170630,1,1,0.0308,0.031,4075379114.65,220862274.38
21,600111.SH,20170428,20170428,20170331,1,1,0.02,0.02,1929028735.21,98139339.26
22,600111.SH,20170415,20170415,20161231,1,1,0.025,0.025,5113163183.02,80279445.67
