,ts_code,trade_date,net_mf_vol,net_mf_amount
0,603288.SH,20210219,-8435,-15783.42
1,603288.SH,20210218,-51611,-99131.02
2,603288.SH,20210210,-2626,-5333.45
3,603288.SH,20210209,22874,46349.55
4,603288.SH,20210208,4292,8374.38
5,603288.SH,20210205,-4845,-9295.69
6,603288.SH,20210204,-1151,-2218.26
7,603288.SH,20210203,-7569,-14906.4
8,603288.SH,20210202,1581,3203.52
9,603288.SH,20210201,1508,2973.03
10,603288.SH,20210129,-1316,-2534.33
11,603288.SH,20210128,1774,3578.55
12,603288.SH,20210127,-6453,-12829.45
13,603288.SH,20210126,-868,-1735.68
14,603288.SH,20210125,4054,8498.7
15,603288.SH,20210122,-1000,-1967.79
16,603288.SH,20210121,304,649.65
17,603288.SH,20210120,5153,10347.46
18,603288.SH,20210119,-19312,-38335.26
19,603288.SH,20210118,-7237,-14538.53
20,603288.SH,20210115,-33908,-68939.57
21,603288.SH,20210114,2468,5302.8
22,603288.SH,20210113,6614,14129.78
23,603288.SH,20210112,8156,17225.45
24,603288.SH,20210111,-2933,-6032.93
25,603288.SH,20210108,-2392,-5012.84
26,603288.SH,20210107,14534,30632.15
27,603288.SH,20210106,9400,19312.22
28,603288.SH,20210105,-617,-866.77
29,603288.SH,20210104,-209,-340.08
30,603288.SH,20201231,6926,13909.12
31,603288.SH,20201230,5932,11810.79
32,603288.SH,20201229,4951,9814.46
33,603288.SH,20201228,-2881,-5646.99
34,603288.SH,20201225,12976,25853.69
35,603288.SH,20201224,2935,5779.47
36,603288.SH,20201223,3699,7264.0
37,603288.SH,20201222,-1772,-3391.8
38,603288.SH,20201221,10213,19804.85
39,603288.SH,20201218,11856,22505.93
40,603288.SH,20201217,2628,5287.27
41,603288.SH,20201216,4221,8440.75
42,603288.SH,20201215,-2572,-5035.81
43,603288.SH,20201214,15595,30369.63
44,603288.SH,20201211,9259,17105.29
45,603288.SH,20201210,8390,15788.32
46,603288.SH,20201209,-3096,-5689.05
47,603288.SH,20201208,5716,10459.82
48,603288.SH,20201207,2506,4568.62
49,603288.SH,20201204,22716,41126.74
50,603288.SH,20201203,19163,32677.41
51,603288.SH,20201202,4334,7240.19
52,603288.SH,20201201,20024,32754.36
53,603288.SH,20201130,-4216,-6727.96
54,603288.SH,20201127,2656,4292.6
55,603288.SH,20201126,2586,4144.91
56,603288.SH,20201125,-6969,-11184.67
57,603288.SH,20201124,1612,2638.96
58,603288.SH,20201123,-1585,-2560.15
59,603288.SH,20201120,-3606,-5939.03
60,603288.SH,20201119,2339,3833.56
61,603288.SH,20201118,1358,2197.23
62,603288.SH,20201117,-8310,-13301.19
63,603288.SH,20201116,-4138,-6710.9
64,603288.SH,20201113,-3690,-5955.26
65,603288.SH,20201112,-10251,-16868.33
66,603288.SH,20201111,2935,4975.72
67,603288.SH,20201110,-1138,-1875.86
68,603288.SH,20201109,-4128,-6879.52
69,603288.SH,20201106,5986,10169.98
70,603288.SH,20201105,15014,25122.12
71,603288.SH,20201104,17,38.74
72,603288.SH,20201103,-6107,-9746.05
73,603288.SH,20201102,-2593,-4190.05
74,603288.SH,20201030,-19878,-32263.51
75,603288.SH,20201029,3090,5223.14
76,603288.SH,20201028,2400,3991.1
77,603288.SH,20201027,-24,-29.89
78,603288.SH,20201026,332,557.18
79,603288.SH,20201023,-1756,-2914.18
80,603288.SH,20201022,-1694,-2840.61
81,603288.SH,20201021,-365,-605.5
82,603288.SH,20201020,11403,19165.36
83,603288.SH,20201019,275,445.1
