,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,600498.SH,20201031,20201031,20200930,1,1,0.24,0.24,15824549391.53,293402408.28
1,600498.SH,20201031,20201031,20200930,1,1,0.24,0.24,15824549391.53,293402408.28
2,600498.SH,20200829,20200829,20200630,1,1,0.05,0.05,9439099761.46,59152393.14
3,600498.SH,20200829,20200829,20200630,1,1,0.05,0.05,9439099761.46,59152393.14
4,600498.SH,20200430,20200430,20200331,1,1,-0.16,-0.16,2910425701.6,-192143397.58
5,600498.SH,20200430,20200430,20200331,1,1,-0.16,-0.16,2910425701.6,-192143397.58
6,600498.SH,20200430,20200430,20191231,1,1,0.84,0.82,24661976843.46,1053848570.92
7,600498.SH,20191030,20191030,20190930,1,1,0.53,0.53,17774812601.31,645772233.95
8,600498.SH,20191030,20191030,20190930,1,1,0.53,0.53,17774812601.31,645772233.95
9,600498.SH,20190829,20190829,20190630,1,1,0.37,0.37,11985164107.56,442431157.03
10,600498.SH,20190829,20190829,20190630,1,1,0.37,0.37,11985164107.56,442431157.03
11,600498.SH,20190430,20190430,20190331,1,1,0.14,0.14,4881407174.38,165298432.08
12,600498.SH,20190427,20190427,20181231,1,1,0.76,0.76,24235238780.87,906888276.13
13,600498.SH,20190427,20190427,20181231,1,1,0.76,0.76,24235238780.87,906888276.13
14,600498.SH,20181020,20181020,20180930,1,1,0.56,0.56,17371347185.84,679385482.36
15,600498.SH,20180818,20180818,20180630,1,1,0.42,0.42,11193620649.73,500820888.94
16,600498.SH,20180421,20180421,20180331,1,1,0.13,0.13,4248274112.51,151229803.46
17,600498.SH,20180414,20180414,20171231,1,1,0.78,0.78,21056224656.67,903457151.83
18,600498.SH,20171025,20171025,20170930,1,1,0.57,0.57,15036208159.97,645578350.36
19,600498.SH,20170729,20170729,20170630,1,1,0.43,0.43,9721382048.1,490106590.88
20,600498.SH,20170429,20170429,20170331,1,1,0.13,0.13,3521688016.78,151142296.66
21,600498.SH,20170408,20170408,20161231,1,1,0.73,0.73,17361078282.69,794621525.68
