Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
0,601601.SH,20210305,14.9398,16.9334,2.0441,41444430.9881
1,601601.SH,20210304,15.6507,17.7392,2.1414,43416600.9864
2,601601.SH,20210303,15.7131,17.8099,2.1499,43589767.1326
3,601601.SH,20210302,15.2588,17.295,2.0878,42329502.402
4,601601.SH,20210301,15.1062,17.122,2.0669,41906207.378
5,601601.SH,20210226,15.3247,17.3697,2.0968,42512288.8896
6,601601.SH,20210225,15.9524,18.0811,2.1827,44253570.693
7,601601.SH,20210224,14.912,16.9019,2.0403,41367468.2565
8,601601.SH,20210223,15.5154,17.5859,2.1229,43041407.6697
9,601601.SH,20210222,14.7803,16.7526,2.0223,41001895.2812
10,601601.SH,20210219,14.6727,16.6307,2.0076,40703664.6961
11,601601.SH,20210218,14.2635,16.1669,1.9516,39568464.4044
12,601601.SH,20210210,13.5769,15.3886,1.8576,37663636.7963
13,601601.SH,20210209,13.3445,15.1253,1.8258,37019073.9188
14,601601.SH,20210208,13.4833,15.2825,1.8448,37403887.577
15,601601.SH,20210205,13.4624,15.2589,1.842,37346165.5283
16,601601.SH,20210204,12.9284,14.6536,1.7689,35864632.9442
17,601601.SH,20210203,12.6787,14.3706,1.7347,35171968.3595
18,601601.SH,20210202,12.6232,14.3077,1.7272,35018042.8962
19,601601.SH,20210201,12.2799,13.9185,1.6802,34065629.0922
20,601601.SH,20210129,12.0302,13.6355,1.646,33372964.5074
21,601601.SH,20210128,12.7134,14.4099,1.7395,35268171.774
22,601601.SH,20210127,13.1954,14.9562,1.8054,36605399.2363
23,601601.SH,20210126,12.9492,14.6772,1.7718,35922354.993
24,601601.SH,20210125,13.348,15.1292,1.8263,37028694.2603
25,601601.SH,20210122,13.029,14.7676,1.7827,36143622.8464
26,601601.SH,20210121,13.7503,15.5851,1.8814,38144653.8691
27,601601.SH,20210120,13.8058,15.648,1.889,38298579.3324
28,601601.SH,20210119,14.6346,16.5875,2.0024,40597840.9401
29,601601.SH,20210118,14.3225,16.2337,1.9597,39732010.2092
30,601601.SH,20210115,14.2462,16.1472,1.9492,39520362.6971
31,601601.SH,20210114,13.6983,15.5262,1.8742,38000348.7473
32,601601.SH,20210113,13.5942,15.4083,1.86,37711738.5036
33,601601.SH,20210112,13.9584,15.821,1.9098,38721874.3564
34,601601.SH,20210111,13.615,15.4319,1.8629,37769460.5523
35,601601.SH,20210108,13.5249,15.3297,1.8505,37519331.6745
36,601601.SH,20210107,13.6185,15.4358,1.8633,37779080.8938
37,601601.SH,20210106,13.237,15.0034,1.8111,36720843.3337
38,601601.SH,20210105,13.1434,14.8973,1.7983,36461094.1145
39,601601.SH,20210104,13.2995,15.0742,1.8197,36894009.4799
40,601601.SH,20201231,13.3168,15.0938,1.8221,36942111.1872
41,601601.SH,20201230,12.5608,14.2369,1.7186,34844876.75
42,601601.SH,20201229,12.5747,14.2526,1.7205,34883358.1158
43,601601.SH,20201228,12.5712,14.2487,1.72,34873737.7744
44,601601.SH,20201225,12.2764,13.9146,1.6797,34056008.7507
45,601601.SH,20201224,12.592,14.2723,1.7229,34931459.8231
46,601601.SH,20201223,12.5261,14.1976,1.7139,34748673.3355
47,601601.SH,20201222,12.4186,14.0758,1.6992,34450442.7504
48,601601.SH,20201221,13.0359,14.7754,1.7836,36162863.5293
49,601601.SH,20201218,12.9804,14.7125,1.776,36008938.0661
50,601601.SH,20201217,13.2405,15.0073,1.8116,36730463.6752
51,601601.SH,20201216,13.0428,14.7833,1.7846,36182104.2123
52,601601.SH,20201215,12.7862,14.4924,1.7495,35470198.9446
53,601601.SH,20201214,12.9596,14.689,1.7732,35951216.0173
54,601601.SH,20201211,12.7515,14.4531,1.7447,35373995.53
55,601601.SH,20201210,12.9527,14.6811,1.7722,35931975.3344
56,601601.SH,20201209,12.97,14.7007,1.7746,35980077.0417
57,601601.SH,20201208,13.0636,14.8069,1.7874,36239826.261
58,601601.SH,20201207,13.1122,14.8619,1.7941,36374511.0414
59,601601.SH,20201204,13.452,15.2471,1.8406,37317304.5039
60,601601.SH,20201203,13.5179,15.3218,1.8496,37500090.9916
