ts_code,net_mf_vol
000725,1082479.8
300059,409913.4
603993,387417.6
000100,238929.6
601899,185394.0
600010,144877.0
000001,109405.6
000066,104862.8
601162,103056.2
000157,86573.6
601377,81927.2
002415,81914.2
002673,68906.4
601818,68865.0
601108,66792.0
601901,66704.0
601878,66373.0
600795,65738.8
601166,65318.6
003816,62741.6
600918,57797.2
601012,55149.4
000703,53691.8
601117,45601.6
002142,44017.6
603799,43756.4
002594,43515.6
002602,43423.2
600028,42193.8
600030,41530.8
600999,40667.0
600958,40078.4
600016,39881.4
000768,39236.2
601111,38971.8
601225,37208.2
601600,37176.2
600705,36911.4
601788,36683.6
600176,36615.2
000783,35318.6
600109,34933.6
002230,34877.2
600584,34653.4
601916,33792.4
002008,32653.0
600893,32212.2
600369,31818.6
600031,31779.0
000728,30322.0
600522,30316.8
000961,28938.0
002475,28915.6
600887,28909.4
601169,28341.6
002236,27922.4
000166,27640.4
600036,26869.6
601989,26153.0
601009,25816.0
601601,25691.8
601319,25196.0
002050,25195.4
600406,24769.0
601881,24742.6
002001,22960.6
002027,22029.0
002624,21889.6
000723,21609.4
002352,20837.2
600183,20590.6
600177,20520.8
600000,20441.0
600703,20219.8
600570,19830.4
000776,19266.6
000069,19236.0
601066,18822.0
600588,18478.8
600690,17063.6
000977,17015.8
000625,16581.0
000333,16463.0
600998,16335.8
601555,16166.2
601696,15971.2
300014,15609.6
600004,15410.2
601633,14521.0
601198,14208.4
603019,13760.0
601877,13703.8
600029,13556.2
002410,13491.8
600009,13177.8
600061,12976.6
601872,12400.8
300015,12328.6
601985,12143.6
000860,12049.4
002736,12040.0
000063,11875.8
601990,11432.8
600346,10907.2
002460,10349.6
002024,10328.8
603259,9695.4
000858,9513.4
600900,9467.2
002463,9109.4
002945,9048.8
300144,8849.8
600926,8702.4
002252,8697.2
601021,8635.4
600760,8440.6
600015,8318.0
002120,7482.4
603369,7141.2
002049,6973.4
002555,6888.8
601318,6778.4
002939,6349.6
600436,6208.2
601236,6121.8
002271,6086.4
603986,5791.4
600482,5782.2
300122,5611.4
603288,5580.8
000656,5417.8
601138,5326.2
600066,5322.2
601238,5270.6
001979,5260.8
601888,5222.6
300601,5126.8
600745,4941.8
600660,4820.6
000708,4794.4
000568,4780.8
002304,4671.4
688036,4642.2
601577,4338.0
002414,4132.6
600498,4123.4
603833,4023.6
300413,3846.4
600362,3805.6
600111,3737.6
603501,3694.8
600845,3550.8
600487,3521.4
300628,3432.8
002179,3376.0
600390,3360.8
600809,3232.0
600519,3191.0
002812,2471.6
002739,2459.2
603160,2393.4
002821,2347.0
300124,2248.6
603658,2178.2
002371,2095.6
601155,2040.0
002714,2033.2
002841,2010.8
601229,1849.0
000661,1712.0
601628,1623.0
601100,1621.0
000538,1415.6
000938,1365.8
600115,1346.0
600637,1335.0
600233,1318.4
000627,1109.2
002311,934.4
601669,792.2
002938,788.4
601077,765.0
600763,701.4
300529,597.0
600600,549.8
002032,513.2
600309,410.2
000596,400.2
600872,319.2
600271,239.4
688012,62.6
300033,16.0
002773,-42.8
603392,-117.8
002916,-247.8
600332,-302.2
002153,-393.4
002558,-472.2
601800,-563.4
600848,-724.2
688008,-788.6
603195,-794.8
603087,-814.2
300347,-942.8
601231,-1078.6
002508,-1505.2
000786,-1658.2
600118,-1697.8
601607,-2033.6
600068,-2048.6
300433,-2102.6
600018,-2126.0
002607,-2136.2
601360,-2219.2
600085,-2243.4
600547,-2315.2
603899,-2342.2
000895,-2533.6
601211,-2824.2
002601,-2852.4
300676,-2892.4
600161,-3139.4
002422,-3141.2
601698,-3528.2
601336,-3719.2
600276,-3957.4
603156,-4170.2
600299,-4416.0
600340,-4727.0
000338,-5584.8
002493,-5653.8
000651,-5815.0
600150,-5877.0
600606,-6164.2
601998,-6565.8
600383,-7655.0
000876,-7973.8
002157,-8034.6
300136,-8468.2
000671,-8778.8
002007,-9344.0
601808,-9371.8
601919,-9661.6
300003,-9668.4
300408,-10035.0
000002,-10469.6
601816,-10692.8
600027,-11936.4
600438,-13084.0
600989,-13159.6
600655,-14956.2
600741,-15612.6
600919,-15793.6
601838,-16242.8
300142,-17481.8
600208,-17976.4
600048,-18036.8
600489,-18102.6
600886,-19158.0
601727,-19445.4
600585,-19544.0
000963,-20053.4
600025,-20347.2
002129,-20657.4
601688,-21368.6
600352,-22265.4
601933,-22999.8
002146,-23180.2
601088,-23257.4
600019,-25734.6
601658,-27359.0
002384,-28389.6
601857,-28714.8
601988,-29015.4
600104,-31330.6
600837,-31500.8
601216,-33339.2
300498,-34517.0
600196,-34925.8
688009,-35407.2
600297,-37012.2
601006,-39555.0
002044,-42842.4
002456,-43234.8
601186,-43972.8
002202,-44382.8
601766,-45419.4
002241,-45754.4
601390,-49124.2
601328,-56306.4
000425,-56722.2
600050,-63761.0
600011,-69013.2
601398,-81028.8
002600,-97735.4
601618,-107053.4
002958,-114827.2
601288,-227234.2
601668,-228337.4
601939,-261119.2
