ts_code,total_cur_assets
601668,1422934595200.0
000002,1305267407946.7476
600606,925517326397.572
600048,877497088652.4167
601186,717767447062.5
601390,694412078461.5385
600028,528303642857.1429
601800,514658598615.9286
601857,490816937500.0
600104,472326755728.36127
001979,445268804127.65875
600340,402832372358.0047
601669,379811150275.235
601618,356003778466.6667
601155,318183681679.7647
000069,272943848320.38788
601766,263068254142.85715
000671,261344334527.46234
600383,255451277034.35712
000656,249196131554.00082
000961,238031509583.98062
002146,221641001949.5954
000651,207079889254.88358
000333,206073394066.66666
601138,181731737266.66666
601088,181355266666.66666
600705,167683044753.71085
601727,166590457796.46667
600061,150400838110.1225
600519,138436848576.25464
600019,134190305689.83311
600068,131337405906.64859
601989,127247992514.98647
000338,120106415528.16667
002024,114406384166.66667
002594,110443365066.66667
000063,103995361352.94118
000725,100500397003.86667
600690,98999731412.60625
601607,97697289132.84859
600208,93228880036.31584
600050,89220491593.07143
600362,83649017937.5625
000858,82010798603.4177
601117,81963077530.39429
600741,81881362117.88998
600585,81557021250.06667
600297,78774453718.77734
688009,75685438514.32777
000157,71975852732.44266
600031,65459718062.5
601633,65044417114.83785
000100,63736088032.46154
601919,63180959888.42733
600390,60844979922.97309
600011,60255780350.28571
003816,58707409387.514
601600,57103553733.333336
600655,56800962096.84
600998,56343607746.79857
000425,56014956470.95375
300059,55053428960.49461
002415,54422887886.68625
601238,53629562800.933334
000625,49139003302.92778
600150,48867889968.88066
603993,48684731293.80307
600346,47367037573.97616
600018,45779260612.652145
002493,43924642990.97533
601985,42856144145.87462
600332,42010414623.316414
600010,41500545885.401245
002202,41201548896.69583
600406,40788583842.582344
000768,40182760158.065384
600482,38791964888.22222
000627,37990407606.911995
600177,37270940498.28352
601225,37088004748.166664
000538,37022942683.478
002352,36776907628.24923
600352,35346328644.240585
600893,35286623211.33
600795,34681153956.01601
601012,33136918292.491108
002304,32839747389.588886
601899,31216047261.0
600309,30110488550.18572
601006,29506535087.64706
000938,27914236758.01643
600887,27080416755.279995
002475,26855941403.244286
600027,26451833812.5
601877,25777137691.909443
600066,25621590550.52941
601933,25614645477.60267
000977,25557825166.412308
600487,25464997629.36385
601111,24829018411.764706
600522,24579394054.881176
600498,24326288300.458122
600637,23748522556.927143
601808,22945253543.533333
002456,22421438757.43667
300498,22034523838.35143
601888,21372260020.745293
002236,21366489604.251427
000703,21097806189.84846
600029,21090642857.142857
600760,20816452596.16769
601360,20753788500.0
600276,20695222152.346874
600196,20025227929.606667
600115,19993000000.0
600600,19975163006.53846
600886,19309736197.056667
600660,18625226303.625
000876,17704961025.086666
002714,17572731267.09
600848,17408032509.228752
600489,17394613626.283333
600111,17203953007.99534
002241,17175204162.53214
600745,17081696943.252857
601231,17001485547.382668
000708,16649719103.563332
600271,16546012560.65846
600085,16340039364.500668
603288,16276104484.83143
002384,16153033160.468668
000568,16016351376.475555
300433,15970564732.03
000860,15315540542.629288
000895,15158002882.056875
688036,14721818201.48
000963,14557917139.199335
002129,14386497106.99
002938,14372886872.104706
002600,14365732502.5825
600900,14253209937.730001
002271,13732341111.618666
002422,13284277290.733334
600438,13199960268.735003
601816,12147897004.104284
600703,12081983873.309376
002008,12039540852.117058
002001,12020271506.455296
000066,11782913108.451876
603259,11760208189.595713
002027,11558809985.625626
002179,11514700393.224287
603156,11431692277.149288
600009,11345735418.184116
603799,11094853109.35154
601872,11066655679.431175
