,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300142.SZ,20201231,38.2,39.83,38.0,38.56,38.29,0.27,0.7051,547788.05,2124991.922
1,300142.SZ,20201230,38.0,39.0,37.66,38.29,38.36,-0.07,-0.1825,367413.26,1410463.358
2,300142.SZ,20201229,39.26,39.68,38.24,38.36,38.63,-0.27,-0.6989,434889.82,1687121.862
3,300142.SZ,20201228,38.12,40.68,38.01,38.63,37.13,1.5,4.0399,884145.63,3480652.683
4,300142.SZ,20201225,38.1,38.55,36.88,37.13,38.23,-1.1,-2.8773,473238.89,1780046.606
5,300142.SZ,20201224,39.49,39.5,37.89,38.23,39.01,-0.78,-1.9995,476661.79,1830948.805
6,300142.SZ,20201223,39.7,39.7,38.5,39.01,39.93,-0.92,-2.304,508815.58,1982807.298
7,300142.SZ,20201222,39.98,40.75,39.21,39.93,39.44,0.49,1.2424,852289.29,3406913.097
8,300142.SZ,20201221,36.98,40.55,36.62,39.44,36.89,2.55,6.9124,1068348.89,4117225.567
9,300142.SZ,20201218,35.98,37.37,35.41,36.89,35.94,0.95,2.6433,711482.5,2605002.933
10,300142.SZ,20201217,35.8,36.31,35.42,35.94,35.8,0.14,0.3911,514923.46,1849509.8
11,300142.SZ,20201216,35.4,36.62,34.51,35.8,35.34,0.46,1.3016,644177.69,2296110.617
12,300142.SZ,20201215,35.36,36.36,35.03,35.34,35.08,0.26,0.7412,624823.74,2231581.251
13,300142.SZ,20201214,34.67,35.46,33.59,35.08,34.87,0.21,0.6022,633233.36,2201625.556
14,300142.SZ,20201211,34.2,36.17,34.18,34.87,34.03,0.84,2.4684,1008639.92,3537452.813
15,300142.SZ,20201210,34.81,35.29,33.9,34.03,34.82,-0.79,-2.2688,779998.36,2692151.752
16,300142.SZ,20201209,36.5,37.27,34.7,34.82,36.67,-1.85,-5.045,1169993.24,4163663.696
17,300142.SZ,20201208,36.0,37.66,35.61,36.67,36.53,0.14,0.3832,1240447.56,4543779.252
18,300142.SZ,20201207,37.53,39.0,36.53,36.53,45.66,-9.13,-19.9956,2680632.95,9952253.866
19,300142.SZ,20201204,45.0,46.25,44.52,45.66,45.3,0.36,0.7947,408350.57,1857643.415
20,300142.SZ,20201203,42.94,46.18,42.65,45.3,42.89,2.41,5.619,620943.48,2776640.442
21,300142.SZ,20201202,44.01,44.19,42.47,42.89,43.8,-0.91,-2.0776,338510.29,1457732.557
22,300142.SZ,20201201,42.9,44.74,42.9,43.8,42.9,0.9,2.0979,458411.74,2016322.803
23,300142.SZ,20201130,42.53,44.1,41.19,42.9,42.19,0.71,1.6829,380661.6,1629005.425
24,300142.SZ,20201127,42.42,42.9,41.58,42.19,42.35,-0.16,-0.3778,216454.07,913512.541
25,300142.SZ,20201126,42.64,43.2,42.04,42.35,42.64,-0.29,-0.6801,183989.08,781027.434
26,300142.SZ,20201125,43.76,43.89,42.64,42.64,43.66,-1.02,-2.3362,259136.33,1115800.553
27,300142.SZ,20201124,44.37,44.37,43.43,43.66,44.42,-0.76,-1.7109,211814.14,925680.915
28,300142.SZ,20201123,44.5,45.06,43.23,44.42,43.76,0.66,1.5082,311538.46,1377607.03
29,300142.SZ,20201120,44.41,44.7,43.66,43.76,44.18,-0.42,-0.9507,222916.73,981200.883
30,300142.SZ,20201119,44.12,45.05,44.0,44.18,44.21,-0.03,-0.0679,259138.46,1148728.075
31,300142.SZ,20201118,44.78,44.97,43.94,44.21,44.76,-0.55,-1.2288,254532.89,1131540.648
32,300142.SZ,20201117,46.13,46.15,43.25,44.76,46.24,-1.48,-3.2007,486873.16,2173306.069
33,300142.SZ,20201116,45.65,46.86,44.94,46.24,45.5,0.74,1.6264,269286.83,1240194.564
34,300142.SZ,20201113,45.51,46.27,44.8,45.5,46.0,-0.5,-1.087,316372.04,1438705.44
35,300142.SZ,20201112,46.88,47.2,45.54,46.0,46.41,-0.41,-0.8834,361359.61,1667905.415
36,300142.SZ,20201111,47.42,47.61,46.19,46.41,48.42,-2.01,-4.1512,536061.63,2509889.781
37,300142.SZ,20201110,53.0,54.32,48.04,48.42,50.5,-2.08,-4.1188,777157.33,3935971.69
38,300142.SZ,20201109,48.8,51.09,48.41,50.5,48.8,1.7,3.4836,397133.03,1983841.661
39,300142.SZ,20201106,51.98,52.09,47.44,48.8,51.98,-3.18,-6.1177,599776.34,2942244.319
40,300142.SZ,20201105,52.01,52.99,51.18,51.98,52.03,-0.05,-0.0961,356602.6,1850747.122
41,300142.SZ,20201104,51.7,54.23,51.3,52.03,49.6,2.43,4.8992,638293.0,3359105.799
42,300142.SZ,20201103,49.0,50.37,48.38,49.6,48.88,0.72,1.473,254201.51,1255896.291
43,300142.SZ,20201102,49.78,50.14,48.08,48.88,49.78,-0.9,-1.808,333094.03,1624636.247
44,300142.SZ,20201030,50.3,50.76,49.38,49.78,50.49,-0.71,-1.4062,294675.5,1470822.268
45,300142.SZ,20201029,48.0,51.33,47.9,50.49,48.58,1.91,3.9317,548923.07,2739004.907
46,300142.SZ,20201028,49.16,49.67,47.0,48.58,49.06,-0.48,-0.9784,380985.02,1835730.691
47,300142.SZ,20201027,48.5,49.77,48.41,49.06,48.84,0.22,0.4505,305370.83,1497707.611
48,300142.SZ,20201026,48.31,49.85,48.26,48.84,48.82,0.02,0.041,304017.88,1489828.003
49,300142.SZ,20201023,53.5,53.87,48.17,48.82,53.09,-4.27,-8.0429,692618.31,3511651.549
50,300142.SZ,20201022,56.59,56.59,53.06,53.09,57.15,-4.06,-7.1041,559382.37,3046222.655
51,300142.SZ,20201021,59.33,59.76,56.8,57.15,57.28,-0.13,-0.227,531798.2,3085989.371
52,300142.SZ,20201020,56.5,57.54,55.5,57.28,56.6,0.68,1.2014,265913.88,1503016.24
53,300142.SZ,20201019,58.0,58.48,56.5,56.6,57.9,-1.3,-2.2453,275264.56,1577555.994
54,300142.SZ,20201016,56.87,58.87,56.85,57.9,57.39,0.51,0.8887,309959.42,1789442.055
55,300142.SZ,20201015,58.88,58.98,56.8,57.39,58.61,-1.22,-2.0816,371791.4,2138361.329
56,300142.SZ,20201014,57.58,60.7,57.41,58.61,58.01,0.6,1.0343,668299.72,3945127.957
57,300142.SZ,20201013,56.75,59.33,55.98,58.01,56.81,1.2,2.1123,699177.43,4044392.919
58,300142.SZ,20201012,53.09,57.58,52.7,56.81,52.44,4.37,8.3333,736946.07,4088651.955
59,300142.SZ,20201009,52.09,53.25,51.05,52.44,50.88,1.56,3.066,440506.34,2293138.431
60,300142.SZ,20200930,51.26,52.15,50.2,50.88,50.86,0.02,0.0393,322403.75,1652896.434
61,300142.SZ,20200929,50.86,51.68,48.12,50.88,50.88,0.0,0.0,586679.82,2941475.578
62,300142.SZ,20200928,55.02,55.3,50.5,50.88,54.85,-3.97,-7.2379,610600.82,3197465.364
63,300142.SZ,20200925,55.1,57.25,54.35,54.85,55.09,-0.24,-0.4357,492276.43,2747096.521
64,300142.SZ,20200924,55.0,56.64,54.51,55.09,56.06,-0.97,-1.7303,524335.7,2905727.869
