Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,600004.SH,20201031,20201031,20200930,3396318617.57,7412091191.9
1,600004.SH,20201031,20201031,20200930,3396318617.57,7412091191.9
2,600004.SH,20200829,20200829,20200630,2731395012.71,7619802268.13
3,600004.SH,20200428,20200428,20200331,2968140120.67,7889277957.92
4,600004.SH,20200428,20200428,20191231,2530770500.65,7037056840.72
5,600004.SH,20191029,20191029,20190930,3487928264.2,8404234003.44
6,600004.SH,20191029,20191029,20190930,3487928264.2,8404234003.44
7,600004.SH,20190831,20190831,20190630,3283659816.27,8299900220.7
8,600004.SH,20190831,20190831,20190630,3283659816.27,8299900220.7
9,600004.SH,20190430,20190430,20190331,2476215870.47,7977669285.65
10,600004.SH,20190430,20190430,20190331,2476215870.47,7977669285.65
11,600004.SH,20190430,20190430,20181231,3788984495.8,9772028692.94
12,600004.SH,20190430,20190430,20181231,3788984495.8,9772028692.94
13,600004.SH,20181031,20181031,20180930,4809712703.84,7068826688.22
14,600004.SH,20180818,20180818,20180630,4720359305.54,10167226951.07
15,600004.SH,20180421,20180421,20180331,4458325690.21,5893545874.52
16,600004.SH,20180421,20180421,20171231,4112561153.07,5381827145.14
17,600004.SH,20171031,20171031,20170930,2371593390.63,4379422169.29
18,600004.SH,20170831,20170831,20170630,2396581492.34,3990188004.42
19,600004.SH,20170429,20170429,20170331,2219049056.72,3041983328.76
20,600004.SH,20170429,20170429,20161231,2093981085.95,2608518125.52
