,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,2021-03-04,5.6971,36.1133,0.3041,0.5735,0.5275,0.8929,0.8929,328111.5944
1,2021-03-03,5.4123,34.3076,0.2889,0.5448,0.5011,0.9398,0.9398,311706.0147
2,2021-03-02,5.453,34.5656,0.291,0.5489,0.5049,0.9328,0.9328,314049.669
3,2021-03-01,5.6768,35.9843,0.303,0.5714,0.5256,0.8961,0.8961,326939.7673
4,2021-02-26,5.6158,35.5974,0.2997,0.5653,0.5199,0.9058,0.9058,323424.2859
5,2021-02-25,5.5547,35.2105,0.2965,0.5591,0.5143,0.9158,0.9158,319908.8046
6,2021-02-24,5.4937,34.8235,0.2932,0.553,0.5086,0.9259,0.9259,316393.3232
7,2021-02-23,5.046,31.9861,0.2693,0.5079,0.4672,1.0081,1.0081,290613.1265
8,2021-02-22,5.2292,33.1468,0.2791,0.5264,0.4841,0.9728,0.9728,301159.5706
9,2021-02-19,5.0664,32.115,0.2704,0.51,0.4691,1.004,1.004,291784.9536
10,2021-02-18,4.7001,29.7935,0.2509,0.4731,0.4352,1.0823,1.0823,270692.0654
11,2021-02-10,4.517,28.6327,0.2411,0.4547,0.4182,1.1261,1.1261,260145.6213
12,2021-02-09,4.4356,28.1168,0.2367,0.4465,0.4107,1.1468,1.1468,255458.3128
13,2021-02-08,4.3542,27.6009,0.2324,0.4383,0.4031,1.1682,1.1682,250771.0043
14,2021-02-05,4.4356,28.1168,0.2367,0.4465,0.4107,1.1468,1.1468,255458.3128
15,2021-02-04,4.4153,27.9878,0.2357,0.4444,0.4088,1.1521,1.1521,254286.4857
16,2021-02-03,4.7408,30.0514,0.253,0.4772,0.4389,1.073,1.073,273035.7197
17,2021-02-02,5.0664,32.115,0.2704,0.51,0.4691,1.004,1.004,291784.9536
18,2021-02-01,4.8833,30.9543,0.2606,0.4915,0.4521,1.0417,1.0417,281238.5095
19,2021-01-29,5.1478,32.6309,0.2748,0.5182,0.4766,0.9881,0.9881,296472.2621
20,2021-01-28,5.2088,33.0179,0.278,0.5243,0.4823,0.9766,0.9766,299987.7435
21,2021-01-27,5.1478,32.6309,0.2748,0.5182,0.4766,0.9881,0.9881,296472.2621
22,2021-01-26,5.4937,34.8235,0.2932,0.553,0.5086,0.9259,0.9259,316393.3232
23,2021-01-22,6.8569,43.4649,0.366,0.6902,0.6348,0.7418,0.7418,394905.7405
24,2021-01-21,7.2232,45.7865,0.3855,0.7271,0.6688,0.7042,0.7042,415998.6287
25,2021-01-20,7.4266,47.0763,0.3964,0.7476,0.6876,0.6849,0.6849,427716.8999
26,2021-01-19,7.7929,49.3978,0.4159,0.7844,0.7215,0.6527,0.6527,448809.7881
27,2021-01-18,8.7899,55.7177,0.4691,0.8848,0.8138,0.5787,0.5787,506229.3171
28,2021-01-15,8.973,56.8784,0.4789,0.9032,0.8308,0.5669,0.5669,516775.7612
29,2021-01-14,8.8509,56.1046,0.4724,0.8909,0.8195,0.5747,0.5747,509744.7985
30,2021-01-13,8.3422,52.8802,0.4452,0.8397,0.7724,0.6098,0.6098,480449.1204
31,2021-01-12,8.7288,55.3307,0.4659,0.8786,0.8082,0.5828,0.5828,502713.8358
32,2021-01-11,8.9934,57.0074,0.48,0.9053,0.8326,0.5656,0.5656,517947.5884
33,2021-01-08,8.1388,51.5904,0.4344,0.8192,0.7535,0.625,0.625,468730.8492
34,2021-01-07,6.7755,42.949,0.3616,0.682,0.6273,0.7508,0.7508,390218.432
35,2021-01-06,7.2028,45.6575,0.3844,0.725,0.6669,0.7062,0.7062,414826.8015
36,2021-01-05,7.4877,47.4632,0.3996,0.7537,0.6932,0.6793,0.6793,431232.3813
37,2021-01-04,7.7725,49.2689,0.4148,0.7824,0.7196,0.6545,0.6545,447637.961
