,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2020-09-30,0.008,0.0143,0.0143,--,9.4836,9.2083,-0.1002,6.6992,1.5846,--,0.0687,13.3009,0.0661,0.6125,0.6209,86.6257,0.2534,0.7985,0.0842,0.0687,--,5.8308,-28.0242,2347.0865,--,--,491159722.18,0.16,0.15,20731143.67,15.6261,-98.1358,0.1853,-5.1502,1.2325,219.0669,8.7988,30.6859,--,0.261,1034.4828,0.6089,443.4226,0.3329,2.718,2.6601,47.3257,135.5841,0.1096,81.596,2.7818,--,22.5551,70.947,3.2968,--,73.3658,21.5067,561.7131,--,18.404,13619667373.85,-0.0318,-0.0086,-12.5476,-0.0468,-5.838,--,--,--,25506025.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020-06-30,0.1199,0.122,0.122,0.1254,9.5564,9.4725,0.4472,6.7981,1.6923,--,1.0145,16.5573,0.9852,7.2006,6.6905,83.3557,5.9189,37.5046,3.9245,3.1737,--,8.2436,-3.5798,250.7945,0.2085,--,392984630.92,1.29,1.3,146943494.46,2.0994,-67.5035,2.0435,-1.5339,0.8549,210.5509,8.4851,21.2136,2.7266,0.1664,1081.7308,0.3847,467.8971,0.2132,2.7601,2.7141,76.5677,614.9439,0.0942,80.8693,2.4638,1342.5546,23.6563,70.8036,2.9566,73.6124,72.9608,21.414,569.2086,6.0235,19.1307,13847641517.44,0.2208,0.0378,3.7301,0.1978,25.4769,--,--,--,25859303.39,--,--,--,131746592.91,187006805.07,34355917.01,--,8071104.31,3290364.15,--,--,45507771.73,9621795.34,38476022.91
2020-03-31,0.0339,0.0363,0.0363,--,9.5003,9.4167,-0.113,6.7981,1.6316,--,0.2698,24.5983,0.2704,6.0782,5.3298,75.3285,4.3359,3.3929,0.3571,0.2698,--,11.4542,-0.1323,465.9431,--,--,225554318.01,0.39,0.39,50999666.39,-30.7389,-74.2769,3.632,8.9076,0.2996,300.4005,10.5375,8.5409,--,0.0624,1442.3077,0.1375,654.5455,0.0826,2.3545,2.3299,54.9125,347.5374,0.0805,75.5346,2.0959,--,32.3897,70.4859,2.6998,--,72.4417,28.2356,462.1571,--,24.4654,14738595333.63,-0.1444,-0.009,-3.3311,-0.0367,-4.6724,--,--,--,14940432.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-12-31,0.491,0.4915,0.4915,0.3935,9.4462,9.3602,-0.0954,6.7981,1.5953,--,3.9217,23.8965,4.0946,15.0319,12.3006,76.0079,10.0571,72.6767,7.6937,5.8043,--,7.2328,1.1529,190.7602,--,--,1367232348.02,5.25,5.3915,461106124.28,4.9023,-9.9375,4.2825,9.2233,2.3118,155.7228,21.0509,17.1014,6.5447,0.4071,884.3036,0.9525,377.9528,0.5277,2.2103,2.1798,63.5406,1031.6857,0.0715,75.4423,1.7779,1220.6054,32.5516,70.6894,2.3024,76.6521,72.3553,29.5916,441.6595,6.1807,24.5577,14672621346.55,-0.0195,-0.0076,-0.1943,-0.031,-3.7092,--,--,--,15740432.92,--,--,--,321540322.56,25570591.65,27375582.37,--,13015416.21,18431523.65,--,--,126874496.71,28193461.97,37686329.8
2019-09-30,0.4283,0.4282,0.4282,--,9.466,9.381,0.0561,6.7981,1.5311,--,3.4956,28.1056,3.6121,22.816,18.2965,71.7854,15.7171,42.8345,4.5251,3.4956,--,8.2645,11.9678,153.6745,--,--,897590077.86,4.56,4.68,432118273.46,-0.9992,-10.182,5.7781,10.7131,1.6471,163.9245,60.6346,4.4529,--,0.2298,1174.9347,0.5559,485.6989,0.2942,2.1571,1.9417,59.1468,1295.4674,0.033,77.2504,0.7578,--,29.4491,73.3783,0.9714,--,74.0981,26.6412,479.2621,--,22.7496,14359201319.82,0.0206,0.0046,0.131,0.0201,2.311,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-06-30,0.3689,0.368,0.368,0.3093,9.3651,9.2791,0.0389,6.7981,1.4708,--,3.074,29.9341,3.1444,27.7943,21.6034,69.9395,18.5964,57.0355,6.0902,4.7525,30.0605,7.6553,11.4276,138.5707,0.1897,--,695870973.27,3.97,4.02,362411501.79,16.3081,19.1862,6.8762,13.385,1.2556,143.3578,53.3175,3.376,2.794,0.1691,1064.4589,0.413,435.8354,0.2154,2.2026,1.9988,66.8251,1580.3706,0.0308,78.0342,0.7054,1334.2478,28.1489,73.6457,0.8959,77.7006,74.3114,25.3468,498.8051,5.8486,21.9658,14063360201.71,0.0196,0.0032,0.1055,0.0148,1.6996,--,--,--,0,--,--,--,77354591.05,40200438.06,54599887.05,--,193926679.52,2027575.55,--,--,12668161.48,23930101.62,12972833.63
2019-03-31,0.1319,0.1342,0.1342,--,9.1674,9.0805,0.0356,6.7981,1.307,--,1.1421,26.8379,1.1463,19.2407,15.4494,72.9996,11.6748,13.1899,1.4388,1.1421,27.0004,7.431,0.8067,173.0733,--,--,355308498.39,1.48,1.48,156595627.76,62.5315,27.5003,6.9629,10.4188,0.6762,133.0967,39.4668,2.2804,--,0.0982,916.4969,0.2455,366.5988,0.124,2.3109,2.1277,75.7382,916.547,0.0348,79.3799,0.7916,--,25.9765,74.647,0.9874,--,75.3914,22.8866,542.8932,--,20.6201,13533113957.23,0.0315,0.0031,0.2699,0.0149,1.774,--,--,--,24614570.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-12-31,0.5452,0.5408,0.5408,0.5218,9.0583,8.9734,0.0851,6.7981,1.1728,--,4.756,24.8137,5.0164,17.1793,13.438,75.0364,11.7142,72.5942,8.0141,6.3325,--,5.5945,6.5197,178.8046,--,--,1353360976.24,6.03,6.2,611469534.57,98.2348,28.9359,6.6524,11.5831,3.4236,105.1525,43.0679,8.3589,7.3468,0.4282,840.7286,1.1255,319.8578,0.5304,2.3704,2.1857,85.9565,1993.5129,0.0557,79.0167,1.2821,1261.3539,26.5555,74.9407,1.5966,79.8946,76.1567,22.8847,544.6554,6.2644,20.9833,13433599153.99,0.0183,0.0074,0.156,0.0354,4.4169,--,--,--,8614570.1,--,--,--,176010476.58,56437399.09,70868262.77,--,75499082.76,4901542.64,--,--,25037885.15,19678593.05,16754621.69
2018-09-30,0.4769,0.4734,0.4734,--,8.9489,8.8846,0.0791,6.7894,1.1054,--,4.3089,29.9631,4.4692,25.7363,19.7137,69.8786,17.324,47.6904,5.3292,4.3089,30.1214,6.5402,0.1224,152.0343,--,7.6478,966568425.27,5.33,5.46,554602529.86,86.1613,72.1862,7.7134,9.265,2.6545,101.7141,92.8952,2.9065,--,0.258,1046.5116,0.6956,388.1541,0.3157,2.4384,1.9496,93.4816,2217.2514,0.1193,80.8545,2.6756,--,23.6789,74.1895,3.2032,--,76.6446,22.5986,540.5951,--,19.1455,12969742056.27,0.0287,0.0071,0.1658,0.0373,4.5812,--,--,--,11305933.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-06-30,0.3095,0.308,0.308,0.3074,8.7625,8.7,0.0449,6.7982,0.94,--,2.9244,32.1712,2.9679,26.1704,20.7753,67.6486,18.1474,45.6554,5.2103,4.3134,32.3514,11.7132,0.174,154.5465,0.0086,-0.8207,643012621.38,3.54,3.59,360169674.85,109.5628,97.9631,63.482,18.706,1.6735,107.559,79.5439,2.2629,3.0487,0.1635,1100.9174,0.4505,399.556,0.1977,2.7064,2.3287,108.5758,2880.0562,0.1165,82.7865,2.6843,1537.133,20.7926,74.2541,3.1406,79.4969,76.6617,19.5484,611.0852,5.3858,17.2135,12403195601.46,0.0263,0.0042,0.145,0.0246,3.1418,--,--,--,11402999.94,--,--,--,93529089.36,91370096.95,42915798.39,--,17791653.64,5081193.38,--,--,37217600.98,5153528.91,2991578.16
