date,open,high,low,close,volume,outstanding_share,turnover
1996-04-08,2.32,2.41,2.22,2.35,34988600.0,44000000.0,0.7951954545454546
1996-04-09,2.31,2.37,2.28,2.33,10596700.0,44000000.0,0.24083409090909091
1996-04-10,2.35,2.53,2.35,2.53,16563000.0,44000000.0,0.3764318181818182
1996-04-11,2.55,2.58,2.41,2.51,12994900.0,44000000.0,0.2953386363636364
1996-04-12,2.53,2.61,2.51,2.61,7636900.0,44000000.0,0.1735659090909091
1996-04-15,2.59,2.63,2.58,2.59,3387100.0,44000000.0,0.07697954545454545
1996-04-16,2.6,2.68,2.54,2.63,4482100.0,44000000.0,0.10186590909090909
1996-04-17,2.63,2.63,2.56,2.59,4143600.0,44000000.0,0.09417272727272727
1996-04-18,2.58,2.68,2.58,2.68,5396600.0,44000000.0,0.12265
1996-04-19,2.74,3.04,2.71,3.03,10431400.0,44000000.0,0.23707727272727272
1996-04-22,3.05,3.09,2.86,2.93,8930700.0,44000000.0,0.20297045454545454
1996-04-23,2.91,3.13,2.89,3.11,5306300.0,44000000.0,0.12059772727272727
1996-04-24,3.16,3.23,3.11,3.21,7589800.0,44000000.0,0.17249545454545454
1996-04-25,3.21,3.23,2.94,2.99,5896700.0,44000000.0,0.1340159090909091
1996-04-26,3.03,3.3,2.98,3.17,12564600.0,44000000.0,0.28555909090909093
1996-04-29,3.19,3.26,3.01,3.12,7964700.0,44000000.0,0.1810159090909091
1996-04-30,3.11,3.11,2.63,2.74,4847900.0,44000000.0,0.11017954545454546
1996-05-02,2.8,2.93,2.52,2.58,3812400.0,44000000.0,0.08664545454545454
1996-05-03,2.6,2.61,2.5,2.55,1591200.0,44000000.0,0.03616363636363636
1996-05-06,2.55,2.64,2.55,2.58,1124600.0,44000000.0,0.02555909090909091
1996-05-07,2.6,2.67,2.52,2.55,1164800.0,44000000.0,0.026472727272727273
1996-05-08,2.53,2.61,2.51,2.56,556200.0,44000000.0,0.012640909090909092
1996-05-09,2.58,2.7,2.58,2.62,1731100.0,44000000.0,0.03934318181818182
1996-05-10,2.6,2.61,2.51,2.59,562400.0,44000000.0,0.012781818181818182
1996-05-13,2.61,2.61,2.53,2.55,915200.0,44000000.0,0.0208
1996-05-14,2.56,2.58,2.53,2.56,1076500.0,44000000.0,0.02446590909090909
1996-05-15,2.57,2.7,2.53,2.69,2432600.0,44000000.0,0.055286363636363633
1996-05-16,2.72,2.73,2.57,2.63,2047800.0,44000000.0,0.04654090909090909
1996-05-17,2.61,2.72,2.6,2.71,1393100.0,44000000.0,0.03166136363636363
1996-05-20,2.71,2.72,2.6,2.63,1582000.0,44000000.0,0.035954545454545454
